Sample No.,DH,HH,AIII,FM,IN
1,10.40286523,66.46259261,16.56309531,0,6.57144685
2,10.44663298,68.29055614,14.70874682,0,6.554064053
3,9.638010926,72.6013675,10.56994773,0,7.190673851
4,10.64375604,71.60755028,10.86285554,0,6.885838146
5,11.37177105,67.76031524,14.7837869,0,6.084126806
6,10.89301361,69.52785418,13.49617332,0,6.082958891
7,12.21949846,76.09268325,4.333628728,0,7.354189559
8,11.16637255,82.03914734,0,0.093961825,6.700518279
9,10.35461806,82.11068796,0.363520676,0,7.171173307
10,11.59355019,66.21802337,14.58796781,0,7.600458641
11,12.09442113,69.2261785,12.024033,0,6.655367364
12,11.65169064,73.35537023,7.357811655,0,7.635127477
13,12.97515614,64.10659345,17.83476031,0,5.083490104
14,11.82104759,67.93883699,14.42742611,0,5.812689321
15,12.97534723,59.36848106,21.65741159,0,5.998760116
16,7.862667861,80.30266065,4.176384363,0,7.658287131
17,7.064443222,85.39891606,0,0.040280652,7.496360065
18,7.088525281,85.69946482,0,0.197589345,7.014420557
19,8.819762386,68.21577576,15.13337307,0,7.831088782
20,7.909996256,83.03388296,2.5798156,0,6.476305183
21,9.212921189,66.2486418,17.75848756,0,6.779949448
22,11.40401572,65.60834585,16.1173064,0,6.87033203
23,9.464816133,64.70792247,19.28239723,0,6.544864163
24,8.54121889,71.2353716,13.69274122,0,6.530668293
25,9.998824976,69.869936,12.73416934,0,7.397069681
26,11.38365442,71.77770646,10.76050498,0,6.07813415
27,10.22962511,68.14091944,15.43278195,0,6.1966735
28,8.618134916,69.27598695,14.97631405,0,7.129564088
29,13.27266861,50.7585168,28.80723677,0,7.161577828
30,7.530649678,71.94090506,13.78273398,0,6.745711283
31,11.32007731,66.58751922,14.14601742,0,7.946386051
32,10.48903589,66.73599371,14.61918273,0,8.155787671
33,11.23148497,65.601996,15.64587477,0,7.520644266
34,10.52920924,67.60602525,15.69975081,0,6.165014701
35,10.24276283,70.668385,12.81212264,0,6.276729533
36,10.21227667,72.2713881,11.20362366,0,6.312711575
37,10.59138677,63.04722676,18.5985509,0,7.762835572
38,10.53226921,65.7571177,16.69198505,0,7.018628041
39,11.90635382,59.80211895,21.62292572,0,6.668601513
40,11.46037676,65.20558348,15.90382002,0,7.430219734
41,10.47915713,67.76997596,14.83970731,0,6.911159605
42,11.09697856,66.46809038,16.05105435,0,6.383876713
43,7.882914864,66.31364053,17.1465946,0,8.656850001
44,5.959219374,73.2953877,12.87143941,0,7.873953516
45,6.625357139,70.12733809,14.30655774,0,8.940747034
46,7.136982416,72.04538273,13.62585798,0,7.191776878
47,8.083725566,68.10027581,16.19607551,0,7.619923107
48,6.738075881,74.96166747,10.85555518,0,7.444701473
49,7.018689187,76.18269921,9.502763638,0,7.295847967
50,7.51088472,69.44545607,16.63278589,0,6.410873317
51,8.245731099,70.22241494,15.19154995,0,6.340304018
52,8.258774176,71.3434617,12.53146502,0,7.866299108
53,8.039584976,74.27570087,10.00261547,0,7.68209869
54,9.089322883,69.40479009,14.59914878,0,6.906738247
55,10.63886794,77.14302291,2.983583379,0,9.234525777
56,9.795563658,80.8247184,0.732187005,0,8.647530937
57,9.454011486,81.74284405,0.601874638,0,8.201269831
58,10.37100226,80.60196938,2.013458771,0,7.013569595
59,10.25671705,78.91028642,2.893133458,0,7.939863076
60,11.59394469,74.74413539,6.506981591,0,7.154938323
61,11.24147722,80.93123219,0.334577318,0,7.492713265
62,12.03875427,74.7250179,5.676518493,0,7.559709338
63,10.82461104,81.64892024,0.254474375,0,7.271994347
64,11.1843412,76.76511246,3.947555657,0,8.102990678
65,10.09372106,81.586784,0,0.423511238,7.8959837
66,9.090082792,82.77737525,0,0.61355884,7.518983121
67,5.820846196,84.30529067,0.691788665,0,9.182074467
68,5.318744061,86.01976092,0,0.041878764,8.619616256
69,4.826199063,86.34707942,0,0.152341992,8.67437952
70,5.401973205,86.03327363,0,0.098722616,8.466030547
71,7.084466695,80.78375677,3.291642007,0,8.840134532
72,6.495324076,83.63898903,1.184802303,0,8.680884592
73,7.521624069,82.95292077,0.343581742,0,9.181873419
74,7.047033131,83.53976773,0.602585669,0,8.810613472
75,6.940838962,83.8737031,0.502113287,0,8.683344654
76,8.104849274,83.24820318,0,0.026922242,8.620025305
77,7.222849697,84.24027801,0,0.254233837,8.282638459
78,8.31016419,82.97658924,0,0.178011425,8.535235147
79,9.529193739,80.88021273,0.883096852,0,8.707496674
80,8.759572485,83.02261807,0,0.109506158,8.10830329
81,9.055999888,82.69989112,0.130061006,0,8.114047988
82,9.854655815,81.60311801,0,0.090627351,8.451598824
83,9.308759725,82.23104812,0.157742238,0,8.302449919
84,8.425941954,83.32564788,0,0.004420281,8.243989882
85,11.28202491,76.8659446,2.683521912,0,9.168508577
86,8.221217371,83.83616692,0,0.170581473,7.772034239
87,9.178383863,81.67969837,1.192037864,0,7.949879903
88,4.116047153,86.52111741,0,0.013756713,9.349078729
89,4.003830407,87.00548245,0,0.019781638,8.970905506
90,3.905020806,86.65989046,0,0.099206677,9.335882056
91,5.32792512,84.98182403,0,0.087570193,9.602680657
92,5.623339709,84.67160124,0.55262365,0,9.1524354
93,5.272150265,85.50872239,0,0.104643831,9.114483514
94,5.84472643,85.36597099,0,0.18037833,8.608924251
95,6.116900834,84.01111505,1.077252521,0,8.794731596
96,6.98829908,81.5640731,2.799128626,0,8.648499195
97,7.765489446,82.64856526,0,0.034353524,9.551591771
98,7.313802043,83.87727307,0,0.163227544,8.645697346
99,6.866804381,83.63213234,0,0.247384911,9.253678365
100,5.849582571,84.77960857,0,0.058450826,9.312358036
101,6.403354383,84.47290172,0,0.136695383,8.987048517
102,5.704988647,85.39794435,0,0.148337385,8.748729618
